,Name,Address,AvgRatingText,TotalReviews,TotalFavourites,TotalViews,TotalPictures,TotalCheckIns,Url,Latitude,Longitude,ResCreatedOn,điểm chất lượng,điểm phục vụ,điểm không gian,điểm giá cả,điểm vị trí,thời gian mở,thời gian đóng,khoảng giá,Tổng bình luận,bình luyện tuyệt vời,bình luận tốt,bình luận trung bình,bình luận kém,Tên nhà hàng,Khoảng giá khác,Thời gian hoạt động,Thích hợp,Giờ nhận khách cuối,Thời gian chuẩn bị,Nghỉ lễ,Thể loại,Sức chứa,Phong cách ẩm thực,Phù hợp với,Phục vụ các món,Website,Có wifi,Có giao hàng,Có máy lạnh & điều hòa,Cho mua về,Trả bằng thẻ,Có chỗ đậu ôtô,Nên đặt trước,Có bàn ngoài trời,Có phòng riêng,Có chỗ chơi cho trẻ em,Có karaoke,Giữ xe máy miễn phí,Tip cho nhân viên,Có khu vực hút thuốc,Có thẻ thành viên,Có xuất hóa đơn đỏ,Có hỗ trợ hội thảo,Có lò sưởi,Có hỗ trợ người khuyết tật,Có chiếu bóng đá,Có nhạc sống
1054,Khao Lao - Ẩm Thực Lào - Nguyễn Chí Thanh,"Tầng 1, Tòa M3 - M4, 91 Nguyễn Chí Thanh, Quận Đống Đa, Hà Nội",6.4,13,0,0,114,0,/ha-noi/khao-lao-am-thuc-lao-nguyen-chi-thanh,21.020367,105.808932,0001-12-31T17:00:00Z,7.2,6.9,6.7,5.6,5.5,10:00,22:00,70.000đ - 300.000đ,13.0,0.0,8.0,3.0,2.0,khao-lao-am-thuc-lao-nguyen-chi-thanh,,10:00 - 22:00,"['Buổi  trưa', 'Buổi xế', 'Buổi  tối']",21:00,Khoảng 5 - 10 phút,Các ngày lễ trong năm,['Nhà hàng'],50 người lớn,['Món Á'],"['Ăn gia đình', 'Hẹn hò', 'Uống bia - Nhậu', 'Họp nhóm']",,www.khaolao.vn,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1055,King BBQ - Vua Nướng Hàn Quốc - Nguyễn Chí Thanh,"Tầng 1, Tòa M3 - M4, 91 Nguyễn Chí Thanh, Quận Ba Đình, Hà Nội",7.3,18,0,0,136,0,/ha-noi/king-bbq-nguyen-chi-thanh,21.0207318,105.8081102,0001-12-31T17:00:00Z,8.1,7.4,7.1,7.0,6.7,10:00,22:00,200.000đ - 440.000đ,18.0,1.0,13.0,2.0,2.0,king-bbq-nguyen-chi-thanh,,10:00 - 22:00,"['Buổi  trưa', 'Buổi xế', 'Buổi  tối']",09:30 PM,Khoảng 5 - 10 phút,Các ngày lễ trong năm,['Nhà hàng'],50 người lớn,"['Món Á', 'Món Hàn']","['Ăn gia đình', 'Họp nhóm', 'Tiếp khách', 'BBQ - Món Nướng']",,,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1056,Sushi Kei - Nguyễn Chí Thanh,"Tầng 1, Tòa M3 - M4, 91 Nguyễn Chí Thanh, Quận Ba Đình, Hà Nội",7.1,13,0,0,71,0,/ha-noi/sushi-kei-nguyen-chi-thanh,21.0112949471725,105.8491677045822,0001-12-31T17:00:00Z,7.7,7.2,7.0,6.9,6.5,10:00,22:00,150.000đ - 400.000đ,13.0,1.0,9.0,1.0,2.0,sushi-kei-nguyen-chi-thanh,,10:00 - 22:00,"['Buổi  trưa', 'Buổi xế', 'Buổi  tối']",09:30 PM,Khoảng 5 - 10 phút,Các ngày lễ trong năm,['Nhà hàng'],50 người lớn,"['Món Á', 'Món Nhật']","['Ăn gia đình', 'Họp nhóm', 'Tiếp khách']",['Sushi & Sashimi'],www.sushikei.vn,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1057,Nhà Hàng Chi’s - Gamuda Gardens,"Gamuda Gardens, Km 4.4 Pháp Vân, Yên Sở, Quận Hoàng Mai, Hà Nội",8.6,2,0,0,58,0,/ha-noi/nha-hang-chi-s-gamuda-gardens,20.972255,105.877339,0001-12-31T17:00:00Z,9.5,8.5,8.5,8.5,8.0,08:00,20:00,100.000đ - 500.000đ,2.0,1.0,1.0,0.0,0.0,nha-hang-chi-s-gamuda-gardens,,08:00 - 20:00,"['Buổi sáng', 'Buổi  trưa', 'Buổi xế', 'Buổi  tối']",,,,['Nhà hàng'],1000 người lớn,['Quốc tế'],"['Đãi tiệc', 'Ăn gia đình', 'Uống bia - Nhậu', 'Họp nhóm', 'Tiếp khách', 'Tiệc ngoài trời', 'Tổ chức tiệc cưới']",,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1058,Hoàng Tôn - Vua Gà Tươi Mạnh Hoạch,"269 Kim Mã, Quận Ba Đình, Hà Nội",7.9,12,0,0,85,0,/ha-noi/hoang-ton-vua-ga-tuoi-manh-hoach,21.0308798578084,105.8210011571645,0001-12-31T17:00:00Z,8.3,8.1,8.0,7.7,7.3,10:00,22:30,25.000đ - 250.000đ,12.0,6.0,4.0,0.0,2.0,hoang-ton-vua-ga-tuoi-manh-hoach,,10:00 - 22:30,"['Buổi  trưa', 'Buổi xế', 'Buổi  tối']",09:30 PM,Khoảng 5 - 15 phút,Các ngày lễ trong năm,['Nhà hàng'],50 người lớn,['Món Việt'],"['Đãi tiệc', 'Ăn gia đình', 'Uống bia - Nhậu', 'Họp nhóm', 'Tiếp khách']",['Thịt Gà'],,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1059,Tokyo Yukai - Nhà Hàng Nhật Bản,"L5-04, Vincom Center, 191 Bà Triệu, Quận Hai Bà Trưng, Hà Nội",4.4,5,0,0,3,0,/ha-noi/tokyo-yukai-nha-hang-nhat-ban,21.0112149,105.8497595,0001-12-31T17:00:00Z,5.8,4.4,4.4,4.0,3.6,09:00,22:00,100.000đ - 400.000đ,5.0,0.0,2.0,0.0,3.0,tokyo-yukai-nha-hang-nhat-ban,,09:00 - 22:00,"['Buổi sáng', 'Buổi  trưa', 'Buổi xế', 'Buổi  tối']",09:45 PM,Khoảng 7 - 10 phút,Các ngày lễ trong năm,['Nhà hàng'],80 người lớn,"['Món Á', 'Món Nhật']","['Đãi tiệc', 'Ăn gia đình', 'Họp nhóm']","['Thịt Bò', 'Lẩu', 'Sushi & Sashimi']",,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1060,Chef's BBQ Restaurant - Đồ Nướng & Pizza,"34 Xuân La, Quận Tây Hồ, Hà Nội",6.0,1,0,0,22,0,/ha-noi/chef-s-bbq-restaurant-do-nuong-pizza,21.0661327178472,105.8049437776207,0001-12-31T17:00:00Z,7.0,7.0,6.0,5.0,5.0,08:00,22:00,300.000đ - 500.000đ,1.0,0.0,0.0,1.0,0.0,chef-s-bbq-restaurant-do-nuong-pizza,,08:00 - 22:00,"['Buổi sáng', 'Buổi  trưa', 'Buổi xế', 'Buổi  tối']",09:30 PM,Khoảng 10 - 20 phút,Các ngày lễ trong năm,['Nhà hàng'],100 người lớn,['Món Á'],"['Ăn gia đình', 'Hẹn hò', 'Uống bia - Nhậu', 'Họp nhóm', 'Tiếp khách']",,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1061,Quán Nhỏ - Lẩu Nướng & Các Món Nhậu,"109C Ngõ 11 Ngọc Khánh, Quận Ba Đình, Hà Nội",7.7,2,0,0,32,0,/ha-noi/quan-nho-lau-nuong-cac-mon-nhau,21.0297052,105.8163081,0001-12-31T17:00:00Z,8.0,8.0,7.5,7.5,7.5,09:30,22:00,69.000đ - 299.000đ,2.0,0.0,2.0,0.0,0.0,quan-nho-lau-nuong-cac-mon-nhau,,09:30 - 22:00,"['Buổi  trưa', 'Buổi xế', 'Buổi  tối']",09:30 PM,Khoảng 5 - 10 phút,Các ngày lễ trong năm,['Nhà hàng'],20 người lớn,['Món Việt'],"['Ăn gia đình', 'Uống bia - Nhậu', 'Họp nhóm']",,,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1062,Geylang Lor 9 - Cháo Ếch Singapore,"10 Lý Thường Kiệt, Quận Hoàn Kiếm, Hà Nội",6.5,4,0,0,14,0,/ha-noi/geylang-lor-9-chao-ech-singapore,21.0216549684014,105.8564247563481,0001-12-31T17:00:00Z,7.0,6.8,6.3,6.3,6.3,00:01,23:59,39.000đ - 100.000đ,4.0,1.0,2.0,0.0,1.0,geylang-lor-9-chao-ech-singapore,,00:01 - 01:30 | 10:00 - 23:59,"['Buổi sáng', 'Buổi  trưa', 'Buổi xế', 'Buổi  tối', 'Buổi  khuya']",,Khoảng 5 - 10 phút,Các ngày lễ trong năm,['Nhà hàng'],50 người lớn,"['Món Á', 'Singapore']","['Ăn gia đình', 'Hẹn hò', 'Họp nhóm']","['Cháo', 'Ăn vặt - Ăn nhẹ']",,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1063,Inaka - Ẩm Thực Nhật Bản,"75 Linh Lang, Quận Ba Đình, Hà Nội",8.6,2,0,0,11,0,/ha-noi/inaka-am-thuc-nhat-ban,21.0335886628391,105.8099806308746,0001-12-31T17:00:00Z,9.0,9.0,8.5,8.5,8.0,08:00,22:00,50.000đ - 500.000đ,2.0,1.0,1.0,0.0,0.0,inaka-am-thuc-nhat-ban,,08:00 - 22:00,"['Buổi sáng', 'Buổi  trưa', 'Buổi xế', 'Buổi  tối']",09:45 PM,Khoảng 10 - 20 phút,Các ngày lễ trong năm,['Nhà hàng'],60 người lớn,"['Món Á', 'Món Nhật']","['Hẹn hò', 'Uống bia - Nhậu', 'Họp nhóm', 'Tiếp khách']",,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1064,Sáu Quê - Lẩu & Gà Không Lối Thoát,"CT2 Chung Cư Cán Bộ Viện 103 (Cuối Đường Nguyễn Khuyến), Quận Hà Đông, Hà Nội",8.0,1,0,0,4,0,/ha-noi/sau-que-lau-ga-khong-loi-thoat,20.9695712281934,105.7919940724968,0001-12-31T17:00:00Z,8.0,8.0,8.0,8.0,8.0,09:00,22:00,50.000đ - 250.000đ,1.0,0.0,1.0,0.0,0.0,sau-que-lau-ga-khong-loi-thoat,,09:00 - 22:00,"['Buổi sáng', 'Buổi  trưa', 'Buổi xế', 'Buổi  tối']",09:00 PM,Khoảng 5 - 10 phút,Các ngày lễ trong năm,['Nhà hàng'],60 người lớn,['Món Việt'],"['Đãi tiệc', 'Ăn gia đình', 'Uống bia - Nhậu', 'Họp nhóm', 'Tiếp khách']",['Lẩu'],,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1065,DingDoong BBQ & Hot Pot,"358 Thái Hà, Quận Đống Đa, Hà Nội",6.2,30,0,0,100,0,/ha-noi/dingdoong-bbq-hot-pot,21.01605,105.81622,0001-12-31T17:00:00Z,7.2,6.4,6.0,5.8,5.7,06:00,23:00,80.000đ - 500.000đ,30.0,2.0,11.0,9.0,8.0,dingdoong-bbq-hot-pot,,06:00 - 23:00,"['Buổi sáng', 'Buổi  trưa', 'Buổi xế', 'Buổi  tối']",10:30 PM,Khoảng 5 - 10 phút,Các ngày lễ trong năm,['Nhà hàng'],50 người lớn,['Món Á'],"['Ăn gia đình', 'Uống bia - Nhậu', 'Tiếp khách', 'BBQ - Món Nướng']",,,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1066,Domino's Pizza - Rice City Linh Đàm,"Tầng 1, Tòa Nhà Trung Rice City, Linh Đàm, Quận Hoàng Mai, Hà Nội",6.8,9,0,0,22,0,/ha-noi/domino-s-pizza-rice-city-linh-dam,20.9634515041921,105.822984650731,0001-12-31T17:00:00Z,7.4,7.2,7.0,6.4,6.0,10:00,22:00,49.000đ - 199.000đ,9.0,0.0,6.0,3.0,0.0,domino-s-pizza-rice-city-linh-dam,,10:00 - 22:00,"['Buổi sáng', 'Buổi  trưa', 'Buổi xế', 'Buổi  tối']",10:00 PM,Khoảng 5 - 10 phút,Các ngày lễ trong năm,['Nhà hàng'],20 người lớn,['Quốc tế'],"['Hẹn hò', 'Họp nhóm', 'Giao tận nơi', 'Ăn Fastfood']",['Pizza & Pasta'],,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1067,Sơn Cước - Đặc Sản Rừng - Hào Nam,"116 Hào Nam, Quận Đống Đa, Hà Nội",7.2,2,0,0,40,0,/ha-noi/son-cuoc-dac-san-rung-hao-nam,21.0248158,105.8269941,0001-12-31T17:00:00Z,8.5,8.5,7.0,6.5,5.5,09:00,22:00,80.000đ - 400.000đ,2.0,0.0,1.0,1.0,0.0,son-cuoc-dac-san-rung-hao-nam,,09:00 - 22:00,"['Buổi  trưa', 'Buổi xế', 'Buổi  tối']",21:00,Khoảng 5 - 10 phút,Các ngày lễ trong năm,['Nhà hàng'],50 người lớn,['Món Việt'],"['Ăn gia đình', 'Uống bia - Nhậu', 'Tiếp khách']",['Đặc sản rừng'],,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1068,Sơn Cước - Đặc Sản Rừng - 186 Hào Nam,"186 Hào Nam, Quận Đống Đa, Hà Nội",8.0,1,0,0,30,0,/ha-noi/son-cuoc-dac-san-rung-186-hao-nam,21.0280786,105.8271872,0001-12-31T17:00:00Z,8.0,8.0,8.0,8.0,8.0,09:30,22:00,80.000đ - 400.000đ,1.0,0.0,1.0,0.0,0.0,son-cuoc-dac-san-rung-186-hao-nam,,09:30 - 22:00,"['Buổi  trưa', 'Buổi xế', 'Buổi  tối']",09:30 PM,Khoảng 5 - 10 phút,Các ngày lễ trong năm,['Nhà hàng'],50 người lớn,['Món Việt'],"['Ăn gia đình', 'Uống bia - Nhậu', 'Tiếp khách']",['Đặc sản rừng'],,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1069,Goodfellas Italian Restaurant,"31 Tầng 1, T7 Times City, 458 Minh Khai, Quận Hai Bà Trưng, Hà Nội",8.4,8,0,0,38,0,/ha-noi/goodfellas-italian-american-kitchen,20.995421,105.868417,0001-12-31T17:00:00Z,8.5,8.4,8.4,8.3,8.3,10:00,22:00,150.000đ - 500.000đ,8.0,4.0,3.0,1.0,0.0,goodfellas-italian-american-kitchen,,10:00 - 22:00,"['Buổi  trưa', 'Buổi xế', 'Buổi  tối']",21:00,Khoảng 10 - 15 phút,Các ngày lễ trong năm,['Nhà hàng'],50 người lớn,"['Món Âu', 'Ý']","['Ăn gia đình', 'Hẹn hò', 'Họp nhóm', 'Tiếp khách', 'Giao tận nơi', 'Tiếp khách sang trọng']",,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1070,Sông Hồng - Cá Lăng,"3 Tôn Thất Thuyết, Quận Cầu Giấy, Hà Nội",6.4,2,0,0,1,0,/ha-noi/song-hong-ca-lang,21.028584,105.780645,0001-12-31T17:00:00Z,7.5,7.0,6.0,6.0,5.5,09:00,22:00,30.000đ - 300.000đ,2.0,0.0,1.0,0.0,1.0,song-hong-ca-lang,,09:00 - 22:00,"['Buổi  trưa', 'Buổi xế', 'Buổi  tối']",09:30 PM,Khoảng 5 - 10 phút,Các ngày lễ trong năm,['Nhà hàng'],100 người lớn,['Món Việt'],"['Đãi tiệc', 'Ăn gia đình', 'Hẹn hò', 'Họp nhóm', 'Tiếp khách']","['Hải sản', 'Cá']",,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1071,Sài Gòn Phủi - Món Ngon Mọi Miền,"8 TT3D KĐT Linh Đàm, Quận Hoàng Mai, Hà Nội",6.5,4,0,0,26,0,/ha-noi/sai-gon-phui-mon-ngon-moi-mien,20.9629261486363,105.8249188587069,0001-12-31T17:00:00Z,7.3,7.0,6.3,6.0,6.0,10:00,22:00,50.000đ - 250.000đ,4.0,0.0,1.0,3.0,0.0,sai-gon-phui-mon-ngon-moi-mien,,10:00 - 22:00,"['Buổi  trưa', 'Buổi xế', 'Buổi  tối']",09:00 PM,Khoảng 5 - 15 phút,Các ngày lễ trong năm,['Nhà hàng'],50 người lớn,['Món Việt'],"['Đãi tiệc', 'Ăn gia đình', 'Hẹn hò', 'Uống bia - Nhậu', 'Họp nhóm', 'Tiếp khách']",,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1072,Cá Lăng Việt Trì - KĐT Linh Đàm,"BT4 TT3C KĐT Linh Đàm, Quận Hoàng Mai, Hà Nội",7.9,3,0,0,1,0,/ha-noi/ca-lang-viet-tri-kdt-linh-dam,20.9625839464384,105.8250144124031,0001-12-31T17:00:00Z,8.3,8.3,8.0,7.7,7.0,10:00,22:30,50.000đ - 500.000đ,3.0,0.0,3.0,0.0,0.0,ca-lang-viet-tri-kdt-linh-dam,,10:00 - 22:30,"['Buổi  trưa', 'Buổi xế', 'Buổi  tối']",09:00 PM,Khoảng 5 - 15 phút,Các ngày lễ trong năm,"['Nhà hàng', 'Ăn chay']",65 người lớn,['Món Bắc'],"['Đãi tiệc', 'Ăn gia đình', 'Uống bia - Nhậu', 'Họp nhóm', 'Tiếp khách']",['Đặc sản vùng'],,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1073,Nướng Nhà Mắm - Lẩu & Nướng,"74 Trương Định, Quận Hai Bà Trưng, Hà Nội",7.6,59,0,0,270,0,/ha-noi/nuong-nha-mam-lau-nuong,20.99412,105.849665,0001-12-31T17:00:00Z,7.8,7.8,7.8,7.6,7.2,10:00,22:30,50.000đ - 200.000đ,59.0,8.0,41.0,8.0,2.0,nuong-nha-mam-lau-nuong,,10:00 - 22:30,"['Buổi  trưa', 'Buổi xế', 'Buổi  tối']",10:00 PM,Khoảng 5 - 10 phút,Các ngày lễ trong năm,['Nhà hàng'],55 người lớn,['Món Á'],"['Ăn gia đình', 'Hẹn hò', 'Uống bia - Nhậu', 'Họp nhóm', 'Tiếp khách']",['Lẩu'],,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1074,BancongDeli - Ẩm Thực Châu Âu,"18 Quảng Khánh, Quận Tây Hồ, Hà Nội",8.4,1,0,0,11,0,/ha-noi/bancongdeli-am-thuc-chau-au,21.0615621,105.8200675,0001-12-31T17:00:00Z,9.0,9.0,9.0,8.0,7.0,09:00,17:00,100.000đ - 600.000đ,1.0,0.0,1.0,0.0,0.0,bancongdeli-am-thuc-chau-au,,09:00 - 17:00,"['Buổi sáng', 'Buổi  trưa', 'Buổi xế']",04:30 PM,Khoảng 5 - 10 phút,Các ngày lễ trong năm,['Nhà hàng'],40 người lớn,['Quốc tế'],"['Ăn gia đình', 'Hẹn hò', 'Tiếp khách', 'Du lịch']",,wwwbancong.vn,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1075,Sentosa - Ẩm Thực Á Âu - Phan Bội Châu,"46 Phan Bội Châu, Quận Hoàn Kiếm, Hà Nội",7.1,14,0,0,147,0,/ha-noi/sentosa-am-thuc-a-au,21.024163,105.842856,0001-12-31T17:00:00Z,8.0,7.4,6.9,6.7,6.4,10:00,22:00,50.000đ - 150.000đ,14.0,0.0,10.0,3.0,1.0,sentosa-am-thuc-a-au,,10:00 - 22:00,"['Buổi  trưa', 'Buổi xế', 'Buổi  tối']",09:00 PM,Khoảng 5 - 10 phút,Các ngày lễ trong năm,['Nhà hàng'],55 người lớn,"['Món Á', 'Món Trung Hoa']","['Ăn gia đình', 'Hẹn hò', 'Họp nhóm', 'Tiếp khách', 'Takeaway - Mang về']",['Cơm'],,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1076,Chiến Gà - Gà Tươi Mạnh Hoạch,"540 Lạc Long Quân, Quận Tây Hồ, Hà Nội",6.0,1,0,0,5,0,/ha-noi/chien-ga-ga-tuoi-manh-hoach,21.074417,105.813329,0001-12-31T17:00:00Z,8.0,8.0,5.0,5.0,4.0,08:00,21:00,100.000đ - 600.000đ,1.0,0.0,0.0,1.0,0.0,chien-ga-ga-tuoi-manh-hoach,,08:00 - 14:00 | 17:00 - 21:00,"['Buổi  trưa', 'Buổi xế', 'Buổi  tối']",10:00 PM,Khoảng 5 - 10 phút,Các ngày lễ trong năm,['Nhà hàng'],60 người lớn,['Món Việt'],"['Đãi tiệc', 'Ăn gia đình', 'Họp nhóm', 'Tiếp khách']",['Thịt Gà'],,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1077,Thắng Còi - Lẩu & Nướng,"318 Ngô Gia Tự, Quận Long Biên, Hà Nội",7.2,2,0,0,22,0,/ha-noi/thang-coi-lau-nuong,21.0624652118208,105.8950253913669,0001-12-31T17:00:00Z,8.0,7.5,7.0,7.0,6.5,10:00,22:30,50.000đ - 250.000đ,2.0,0.0,2.0,0.0,0.0,thang-coi-lau-nuong,,10:00 - 22:30,"['Buổi  trưa', 'Buổi xế', 'Buổi  tối']",09:00 PM,Khoảng 5 - 10 phút,Các ngày lễ trong năm,['Nhà hàng'],65 người lớn,['Món Việt'],"['Đãi tiệc', 'Ăn gia đình', 'Họp nhóm', 'Tiếp khách']",['Lẩu'],,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1078,Fresh Crab - Quang Trung,"37 Quang Trung, Quận Hoàn Kiếm, Hà Nội",6.2,3,0,0,21,0,/ha-noi/fresh-crab-quang-trung,21.0206262594305,105.8482242375612,0001-12-31T17:00:00Z,6.7,6.7,6.3,6.0,5.3,10:30,23:30,50.000đ - 300.000đ,3.0,0.0,2.0,0.0,1.0,fresh-crab-quang-trung,,10:30 - 23:30,"['Buổi  trưa', 'Buổi xế', 'Buổi  tối', 'Buổi  khuya']",11:00 PM,Khoảng 5 - 15 phút,Các ngày lễ trong năm,['Nhà hàng'],100 người lớn,['Món Việt'],"['Ăn gia đình', 'Hẹn hò', 'Họp nhóm']",['Hải sản'],,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1079,Lẩu Nướng 23..Zô - Nguyễn Khánh Toàn,"8 Lô 3 Nguyễn Khánh Toàn, Quận Cầu Giấy, Hà Nội",6.8,2,0,0,8,0,/ha-noi/23-zo-nuong-lau,21.0365474503231,105.8021522685885,0001-12-31T17:00:00Z,9.0,8.0,6.5,5.5,5.0,10:00,22:30,80.000đ - 400.000đ,2.0,0.0,1.0,1.0,0.0,23-zo-nuong-lau,,10:00 - 22:30,"['Buổi  trưa', 'Buổi xế', 'Buổi  tối']",10:00 PM,Khoảng 5 - 10 phút,Các ngày lễ trong năm,['Nhà hàng'],60 người lớn,['Món Việt'],"['Ăn gia đình', 'Uống bia - Nhậu', 'BBQ - Món Nướng']",,www.launuong23zo.com,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1080,Cool Cats Jazz Club,"Tầng G JW Marriott Hanoi, Quận Nam Từ Liêm, Hà Nội",8.7,5,0,0,27,0,/ha-noi/cool-cats-jazz-club,21.00712,105.78332,0001-12-31T17:00:00Z,9.4,9.2,9.0,8.2,7.8,07:00,23:30,50.000đ - 500.000đ,5.0,1.0,4.0,0.0,0.0,cool-cats-jazz-club,,07:00 - 23:30,"['Buổi  tối', 'Buổi  khuya']",11:00,Khoảng 5 - 10 phút,Các ngày lễ trong năm,['Nhà hàng'],50 người lớn,['Quốc tế'],"['Hẹn hò', 'Họp nhóm', 'Nghe nhạc']",,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1081,Món Ngon Sài Thành - Huỳnh Thúc Kháng,"59A Huỳnh Thúc Kháng, Quận Đống Đa, Hà Nội",7.6,82,0,0,500,0,/ha-noi/mon-ngon-sai-thanh,21.0192038999999,105.809138,0001-12-31T17:00:00Z,8.0,7.9,7.7,7.5,7.0,10:00,22:00,120.000đ - 250.000đ,82.0,4.0,62.0,16.0,0.0,mon-ngon-sai-thanh,,10:00 - 22:00,"['Buổi  trưa', 'Buổi xế', 'Buổi  tối']",21:00,Khoảng 5 - 10 phút,Các ngày lễ trong năm,['Nhà hàng'],300 người lớn,['Món Miền Nam'],"['Đãi tiệc', 'Họp nhóm', 'Tiếp khách']","['Lẩu', 'Đặc sản vùng']",,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1082,Ồ Lẩu - Lẩu Các Món,"34 Đào Tấn, Quận Ba Đình, Hà Nội",8.1,21,0,0,160,0,/ha-noi/o-lau-lau-cac-mon,21.032776,105.808127,0001-12-31T17:00:00Z,8.3,8.1,8.1,8.1,7.7,10:00,23:00,15.000đ - 250.000đ,21.0,5.0,13.0,1.0,2.0,o-lau-lau-cac-mon,,10:00 - 23:00,"['Buổi  trưa', 'Buổi xế', 'Buổi  tối']",10:00 PM,Khoảng 5 - 10 phút,Các ngày lễ trong năm,['Nhà hàng'],60 người lớn,['Món Việt'],"['Hẹn hò', 'Uống bia - Nhậu', 'Họp nhóm', 'Tiếp khách']",['Lẩu'],,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
